Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
hll1_mask_stats	[20,470, 226,929]	[-80%, 127%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[20,470, 393,030]	[-80%, 293%]	0.677	0.677	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[20,470, 393,030]	[-80%, 293%]	0.677	0.677	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[58,024, 169,675]	[-42%, 70%]	0.001	0.001	2.040	8.950	19.51	2.040	8.950	19.51
hll4_shuffle_stats	[58,024, 169,675]	[-42%, 70%]	0.001	0.001	0.140	0.570	1.320	2.040	8.950	19.51
hll4_rehashed_stats	[58,024, 169,675]	[-42%, 70%]	0.012	0.123	0.000	0.000	0.000	2.040	8.950	19.51
hll4_mask_stats	[45,325, 138,479]	[-55%, 38%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[58,024, 169,675]	[-42%, 70%]	4.771	4.771	0.000	0.000	0.100	0.000	0.000	0.100
hll4_mpc_shuffle_stats	[58,024, 169,675]	[-42%, 70%]	4.771	4.771	0.000	0.000	0.000	0.000	0.000	0.100
hll7_stats	[79,547, 117,654]	[-20%, 18%]	0.006	0.006	17.58	70.42	158.3	17.58	70.42	158.3
hll7_shuffle_stats	[79,547, 117,654]	[-20%, 18%]	0.006	0.006	0.140	0.570	1.320	17.58	70.42	158.3
hll7_rehashed_stats	[79,547, 117,654]	[-20%, 18%]	0.017	0.103	0.000	0.000	0.000	17.58	70.42	158.3
hll7_mask_stats	[15,973, 190,297]	[-84%, 90%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[79,547, 117,654]	[-20%, 18%]	37.63	37.63	0.040	0.450	1.640	0.040	0.450	1.640
hll7_mpc_shuffle_stats	[79,547, 117,654]	[-20%, 18%]	37.63	37.63	0.000	0.000	0.000	0.040	0.450	1.640
hll15_stats	[99,893, 101,691]	[-0%, 2%]	1.363	1.363	4,569	17,665	36,876	4,569	17,665	36,876
hll15_shuffle_stats	[99,893, 101,691]	[-0%, 2%]	1.363	1.363	0.140	0.570	1.320	4,569	17,665	36,876
hll15_rehashed_stats	[99,893, 101,691]	[-0%, 2%]	1.537	1.637	0.000	0.000	0.000	4,569	17,665	36,876
hll15_mask_stats	[9,057, 194,126]	[-91%, 94%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[100,000, 100,000]	[0%, 0%]	0.008	0.008	191,759	191,759	191,759	191,759	191,759	191,759
all_rehashed_stats	[100,000, 100,000]	[0%, 0%]	0.011	0.032	0.000	0.000	0.000	191,759	191,759	191,759
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[90,222, 1,940,247]	[-91%, 94%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mask_stats	[90,222, 1,940,247]	[-91%, 94%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[1,888,932, 1,940,247]	[89%, 94%]	0.100	0.100	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[181,899, 17,753,385]	[-82%, 1675%]	0.000	0.000	1.340	5.280	11.71	1.340	5.280	11.71
hll0_shuffle_stats	[181,899, 17,753,385]	[-82%, 1675%]	0.000	0.000	1.340	5.280	11.71	1.340	5.280	11.71
hll0_rehashed_stats	[181,899, 17,753,385]	[-82%, 1675%]	0.104	0.947	0.000	0.000	0.000	1.340	5.280	11.71
hll0_mask_stats	[90,950, 932,550]	[-91%, -7%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
